DateTime,Tag Number,Alarm Description
2024/01/19 02:19:08.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   14.0 %    MLO  Recover
2024/01/19 02:19:08.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP NR
2024/01/19 02:19:34.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   35.2 MG/NM3   HI
2024/01/19 02:20:19.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   30.7 MG/NM3   HI   Recover
2024/01/19 02:20:19.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               NR
2024/01/19 02:24:56.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   35.2 MG/NM3   HI
2024/01/19 02:25:26.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   30.6 MG/NM3   HI   Recover
2024/01/19 02:25:26.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               NR
2024/01/19 02:29:30.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   35.3 MG/NM3   HI
2024/01/19 02:29:51.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   30.8 MG/NM3   HI   Recover
2024/01/19 02:29:51.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               NR
2024/01/19 02:30:56.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   12.0 %    MLO
2024/01/19 02:36:21.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   35.2 MG/NM3   HI
2024/01/19 02:36:55.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   30.6 MG/NM3   HI   Recover
2024/01/19 02:36:55.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               NR
2024/01/19 02:38:24.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   35.1 MG/NM3   HI
2024/01/19 02:38:56.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   30.7 MG/NM3   HI   Recover
2024/01/19 02:38:56.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               NR
2024/01/19 02:42:56.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   14.0 %    MLO  Recover
2024/01/19 02:42:56.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP NR
2024/01/19 02:45:24.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   35.1 MG/NM3   HI
2024/01/19 02:45:47.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   30.3 MG/NM3   HI   Recover
2024/01/19 02:45:47.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               NR
2024/01/19 02:52:24.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   12.0 %    MLO
2024/01/19 02:52:24.605 +05:30,LC9207,LC9207       T-9210   LEVEL           MAN
2024/01/19 02:52:42.605 +05:30,LC9207,LC9207       T-9210   LEVEL           AUT
2024/01/19 03:05:20.055 +05:30,TI9136A,TI9136A      STACK TO VENTURY INC-1   PV  =   20.0 DEGC LO
2024/01/19 03:09:00.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   14.0 %    MLO  Recover
2024/01/19 03:09:00.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP NR
2024/01/19 03:16:48.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   12.0 %    MLO
2024/01/19 03:28:04.055 +05:30,PC9298,PC9298       NG PRESS INCI-II         PV  =   85.1 MBAR LO   Recover
2024/01/19 03:28:04.055 +05:30,PC9298,PC9298       NG PRESS INCI-II         NR
2024/01/19 03:31:15.055 +05:30,PC9298,PC9298       NG PRESS INCI-II         PV  =   64.8 MBAR LO
2024/01/19 03:35:43.055 +05:30,PC9298,PC9298       NG PRESS INCI-II         PV  =   85.0 MBAR LO   Recover
2024/01/19 03:35:43.055 +05:30,PC9298,PC9298       NG PRESS INCI-II         NR
2024/01/19 03:39:07.055 +05:30,PC9298,PC9298       NG PRESS INCI-II         PV  =   65.0 MBAR LO
2024/01/19 04:13:02.055 +05:30,H9203A,H9203A       P9203A WASH TWR FEED PMP PV  =      0      ANS+
2024/01/19 04:13:02.055 +05:30,AN1503S06,AN1503S06    P9203A STOP              ALM
2024/01/19 04:13:03.055 +05:30,FI9235,FI9235       EFFLUENT TO C9202        PV  =   61.3 m3/hr    LO
2024/01/19 04:13:05.055 +05:30,FI9235,FI9235       EFFLUENT TO C9202        PV  =   15.3 m3/hr    LL
2024/01/19 04:13:07.055 +05:30,FC9209,FC9209       EFF FLOW TO INC.         PV  =  0.707 m3/hr    LO
2024/01/19 04:13:13.055 +05:30,FC9209,FC9209       EFF FLOW TO INC.         PV  =  0.907 m3/hr    LO   Recover
2024/01/19 04:13:13.055 +05:30,FC9209,FC9209       EFF FLOW TO INC.         NR
2024/01/19 04:13:18.055 +05:30,FC9209,FC9209       EFF FLOW TO INC.         PV  =  0.747 m3/hr    LO
2024/01/19 04:14:08.055 +05:30,LC9207,LC9207       T-9210   LEVEL           PV  =   95.1 %    HI
2024/01/19 04:15:07.055 +05:30,TI9242,TI9242       STACK TEPERATURE         PV  =   92.1 Deg c    HI
2024/01/19 04:16:39.055 +05:30,TI9242,TI9242       STACK TEPERATURE         PV  =   99.7 Deg c    HI   Recover
2024/01/19 04:16:39.055 +05:30,TI9242,TI9242       STACK TEPERATURE         NR
